evdev_init_buttons
KEY_RESERVED		RESERVED
BTN_TOOL_PENCIL		Button TOOL_PENCIL
BTN_TOOL_AIRBRUSH	Button TOOL_AIRBRUSH
BTN_TOOL_FINGER		Button TOOL_FINGER
BTN_TOOL_MOUSE		Button TOOL_MOUSE
BTN_TOOL_LENS		Button TOOL_LENS
BTN_TOUCH		Button TOUCH
BTN_STYLUS		Button STYLUS
BTN_STYLUS2		Button STYLUS2
BTN_TOOL_DOUBLETAP	Button TOOL_DOUBLETAP
BTN_TOOL_TRIPLETAP	Button TOOL_TRIPLETAP
BTN_TOOL_QUADTAP	Button TOOL_QUADTAP
BTN_WHEEL		Button WHEEL
BTN_GEAR_DOWN		Button GEAR_DOWN
BTN_GEAR_UP		Button GEAR_UP
KEY_OK			OK
KEY_SELECT		SELECT
KEY_GOTO		GOTO
KEY_CLEAR		CLEAR
KEY_POWER2		POWER2
KEY_OPTION		OPTION
KEY_INFO		INFO
KEY_TIME		TIME
KEY_VENDOR		VENDOR
KEY_ARCHIVE		ARCHIVE
KEY_PROGRAM		PROGRAM
KEY_CHANNEL		CHANNEL
KEY_FAVORITES		FAVORITES
KEY_EPG			EPG
KEY_PVR			PVR
KEY_MHP			MHP
KEY_LANGUAGE		LANGUAGE
KEY_TITLE		TITLE
KEY_SUBTITLE		SUBTITLE
KEY_ANGLE		ANGLE
KEY_ZOOM		ZOOM
KEY_MODE		MODE
KEY_KEYBOARD		KEYBOARD
KEY_SCREEN		SCREEN
KEY_PC			PC
KEY_TV			TV
KEY_TV2			TV2
KEY_VCR			VCR
KEY_VCR2		VCR2
KEY_SAT			SAT
KEY_SAT2		SAT2
KEY_CD			CD
KEY_TAPE		TAPE
KEY_RADIO		RADIO
KEY_TUNER		TUNER
KEY_PLAYER		PLAYER
KEY_TEXT		TEXT
KEY_DVD			DVD
KEY_AUX			AUX
KEY_MP3			MP3
KEY_AUDIO		AUDIO
KEY_VIDEO		VIDEO
KEY_DIRECTORY		DIRECTORY
KEY_LIST		LIST
KEY_MEMO		MEMO
KEY_CALENDAR		CALENDAR
KEY_RED			RED
KEY_GREEN		GREEN
KEY_YELLOW		YELLOW
KEY_BLUE		BLUE
KEY_CHANNELUP		CHANNELUP
KEY_CHANNELDOWN		CHANNELDOWN
KEY_FIRST		FIRST
KEY_LAST		LAST
KEY_AB			AB
KEY_NEXT		NEXT
KEY_RESTART		RESTART
KEY_SLOW		SLOW
KEY_SHUFFLE		SHUFFLE
KEY_BREAK		BREAK
KEY_PREVIOUS		PREVIOUS
KEY_DIGITS		DIGITS
KEY_TEEN		TEEN
KEY_TWEN		TWEN
KEY_VIDEOPHONE		VIDEOPHONE
KEY_GAMES		GAMES
KEY_ZOOMIN		ZOOMIN
KEY_ZOOMOUT		ZOOMOUT
KEY_ZOOMRESET		ZOOMRESET
KEY_WORDPROCESSOR	WORDPROCESSOR
KEY_EDITOR		EDITOR
KEY_SPREADSHEET		SPREADSHEET
KEY_GRAPHICSEDITOR	GRAPHICSEDITOR
KEY_PRESENTATION	PRESENTATION
KEY_DATABASE		DATABASE
KEY_NEWS		NEWS
KEY_VOICEMAIL		VOICEMAIL
KEY_ADDRESSBOOK		ADDRESSBOOK
KEY_MESSENGER		MESSENGER
KEY_DISPLAYTOGGLE	DISPLAYTOGGLE
KEY_SPELLCHECK		SPELLCHECK
KEY_LOGOFF		LOGOFF
KEY_DOLLAR		DOLLAR
KEY_EURO		EURO
KEY_FRAMEBACK		FRAMEBACK
KEY_FRAMEFORWARD	FRAMEFORWARD
KEY_CONTEXT_MENU	CONTEXT_MENU
KEY_MEDIA_REPEAT	MEDIA_REPEAT
KEY_10CHANNELSUP	10CHANNELSUP
KEY_10CHANNELSDOWN	10CHANNELSDOWN
KEY_IMAGES		IMAGES
KEY_DEL_EOL		DEL_EOL
KEY_DEL_EOS		DEL_EOS
KEY_INS_LINE		INS_LINE
KEY_DEL_LINE		DEL_LINE
KEY_FN			FN
KEY_FN_ESC		FN_ESC
KEY_FN_F1		FN_F1
KEY_FN_F2		FN_F2
KEY_FN_F3		FN_F3
KEY_FN_F4		FN_F4
KEY_FN_F5		FN_F5
KEY_FN_F6		FN_F6
KEY_FN_F7		FN_F7
KEY_FN_F8		FN_F8
KEY_FN_F9		FN_F9
KEY_FN_F10		FN_F10
KEY_FN_F11		FN_F11
KEY_FN_F12		FN_F12
KEY_FN_1		FN_1
KEY_FN_2		FN_2
KEY_FN_D		FN_D
KEY_FN_E		FN_E
KEY_FN_F		FN_F
KEY_FN_S		FN_S
KEY_FN_B		FN_B
KEY_BRL_DOT1		BRL_DOT1
KEY_BRL_DOT2		BRL_DOT2
KEY_BRL_DOT3		BRL_DOT3
KEY_BRL_DOT4		BRL_DOT4
KEY_BRL_DOT5		BRL_DOT5
KEY_BRL_DOT6		BRL_DOT6
KEY_BRL_DOT7		BRL_DOT7
KEY_BRL_DOT8		BRL_DOT8
KEY_BRL_DOT9		BRL_DOT9
KEY_BRL_DOT10		BRL_DOT10
KEY_NUMERIC_0		NUMERIC_0
KEY_NUMERIC_1		NUMERIC_1
KEY_NUMERIC_2		NUMERIC_2
KEY_NUMERIC_3		NUMERIC_3
KEY_NUMERIC_4		NUMERIC_4
KEY_NUMERIC_5		NUMERIC_5
KEY_NUMERIC_6		NUMERIC_6
KEY_NUMERIC_7		NUMERIC_7
KEY_NUMERIC_8		NUMERIC_8
KEY_NUMERIC_9		NUMERIC_9
KEY_NUMERIC_STAR	NUMERIC_STAR
KEY_NUMERIC_POUND	NUMERIC_POUND
KEY_CAMERA_FOCUS	CAMERA_FOCUS
KEY_WPS_BUTTON		WPS_BUTTON
KEY_TOUCHPAD_TOGGLE	TOUCHPAD_TOGGLE
KEY_TOUCHPAD_ON		TOUCHPAD_ON
KEY_TOUCHPAD_OFF	TOUCHPAD_OFF
KEY_CAMERA_ZOOMIN	CAMERA_ZOOMIN
KEY_CAMERA_ZOOMOUT	CAMERA_ZOOMOUT
KEY_CAMERA_UP		CAMERA_UP
KEY_CAMERA_DOWN		CAMERA_DOWN
KEY_CAMERA_LEFT		CAMERA_LEFT
KEY_CAMERA_RIGHT	CAMERA_RIGHT
BTN_TRIGGER_HAPPY	Button TRIGGER_HAPPY
BTN_TRIGGER_HAPPY1	Button TRIGGER_HAPPY1
BTN_TRIGGER_HAPPY2	Button TRIGGER_HAPPY2
BTN_TRIGGER_HAPPY3	Button TRIGGER_HAPPY3
BTN_TRIGGER_HAPPY4	Button TRIGGER_HAPPY4
BTN_TRIGGER_HAPPY5	Button TRIGGER_HAPPY5
BTN_TRIGGER_HAPPY6	Button TRIGGER_HAPPY6
BTN_TRIGGER_HAPPY7	Button TRIGGER_HAPPY7
BTN_TRIGGER_HAPPY8	Button TRIGGER_HAPPY8
BTN_TRIGGER_HAPPY9	Button TRIGGER_HAPPY9
BTN_TRIGGER_HAPPY10	Button TRIGGER_HAPPY10
BTN_TRIGGER_HAPPY11	Button TRIGGER_HAPPY11
BTN_TRIGGER_HAPPY12	Button TRIGGER_HAPPY12
BTN_TRIGGER_HAPPY13	Button TRIGGER_HAPPY13
BTN_TRIGGER_HAPPY14	Button TRIGGER_HAPPY14
BTN_TRIGGER_HAPPY15	Button TRIGGER_HAPPY15
BTN_TRIGGER_HAPPY16	Button TRIGGER_HAPPY16
BTN_TRIGGER_HAPPY17	Button TRIGGER_HAPPY17
BTN_TRIGGER_HAPPY18	Button TRIGGER_HAPPY18
BTN_TRIGGER_HAPPY19	Button TRIGGER_HAPPY19
BTN_TRIGGER_HAPPY20	Button TRIGGER_HAPPY20
BTN_TRIGGER_HAPPY21	Button TRIGGER_HAPPY21
BTN_TRIGGER_HAPPY22	Button TRIGGER_HAPPY22
BTN_TRIGGER_HAPPY23	Button TRIGGER_HAPPY23
BTN_TRIGGER_HAPPY24	Button TRIGGER_HAPPY24
BTN_TRIGGER_HAPPY25	Button TRIGGER_HAPPY25
BTN_TRIGGER_HAPPY26	Button TRIGGER_HAPPY26
BTN_TRIGGER_HAPPY27	Button TRIGGER_HAPPY27
BTN_TRIGGER_HAPPY28	Button TRIGGER_HAPPY28
BTN_TRIGGER_HAPPY29	Button TRIGGER_HAPPY29
BTN_TRIGGER_HAPPY30	Button TRIGGER_HAPPY30
BTN_TRIGGER_HAPPY31	Button TRIGGER_HAPPY31
BTN_TRIGGER_HAPPY32	Button TRIGGER_HAPPY32
BTN_TRIGGER_HAPPY33	Button TRIGGER_HAPPY33
BTN_TRIGGER_HAPPY34	Button TRIGGER_HAPPY34
BTN_TRIGGER_HAPPY35	Button TRIGGER_HAPPY35
BTN_TRIGGER_HAPPY36	Button TRIGGER_HAPPY36
BTN_TRIGGER_HAPPY37	Button TRIGGER_HAPPY37
BTN_TRIGGER_HAPPY38	Button TRIGGER_HAPPY38
BTN_TRIGGER_HAPPY39	Button TRIGGER_HAPPY39
BTN_TRIGGER_HAPPY40	Button TRIGGER_HAPPY40
